Query,AutocompletePacketSize,NumSearchResults
attac,357,0
attack,400,0
attacki,365,0
attackin,365,0
attacking,366,2770000000
r,278,0
re,291,0
rem,320,0
reme,304,0
remem,358,0
rememb,347,0
remembe,394,0
remember,365,0
remembers,315,3120000000
r,278,0
re,291,0
rem,320,0
rema,339,0
remai,353,0
remain,354,0
remaini,370,0
remainin,371,0
remaining,372,1410000000
b,294,0
br,316,0
bre,324,0
brea,321,0
breat,344,0
breath,345,0
breathe,330,0
breather,308,0
breathers,336,7520000
b,294,0
br,316,0
bri,336,0
brig,313,0
brigh,318,0
bright,319,0
brighte,355,0
brightes,386,0
brightest,387,256000000
b,294,0
br,316,0
bro,291,0
brow,298,0
brown,299,0
browni,320,0
brownin,325,0
browning,326,0
brownings,355,145000000
s,310,0
su,290,0
sug,306,0
sugg,302,0
sugge,308,0
sugges,309,0
suggest,310,0
suggeste,357,0
suggested,358,3500000000
f,300,0
fi,302,0
fig,305,0
figh,321,0
fight,322,0
fighti,364,0
fightin,365,0
fighting,366,0
fightings,369,2740000
a,299,0
at,276,0
att,316,0
atte,311,0
atten,320,0
attent,409,0
attenti,410,0
attentio,424,0
attention,425,2330000000
f,300,0
fi,302,0
fig,305,0
figu,348,0
figur,349,0
figuri,340,0
figurin,342,0
figuring,331,0
figurings,372,133000000
r,278,0
re,291,0
rec,296,0
rece,313,0
recei,298,0
receiv,340,0
receivi,358,0
receivin,359,0
receiving,360,1960000000
r,278,0
re,291,0
rea,295,0
reas,307,0
reaso,328,0
reason,342,0
reasoni,328,0
reasonin,329,0
reasoning,330,531000000
r,278,0
re,291,0
rea,295,0
real,340,0
reali,323,0
realiz,307,0
realizi,344,0
realizin,345,0
realizing,346,1280000000
f,300,0
fi,302,0
fin,341,0
fing,332,0
finge,357,0
finger,334,0
fingeri,393,0
fingerin,394,0
fingering,395,206000000
b,294,0
bu,285,0
bui,310,0
buil,326,0
build,334,0
buildi,369,0
buildin,347,0
building,348,0
buildings,385,3770000000
s,310,0
st,284,0
stu,289,0
stup,285,0
stupi,318,0
stupid,319,0
stupide,304,0
stupides,314,0
stupidest,315,17000000
s,310,0
st,284,0
stu,289,0
stuf,332,0
stuff,333,0
stuffi,305,0
stuffin,312,0
stuffing,313,0
stuffings,340,127000000
q,274,0
qu,295,0
que,320,0
ques,328,0
quest,350,0
questi,381,0
questio,382,0
question,383,0
questions,409,6450000000
w,284,0
wa,304,0
wat,274,0
watc,306,0
watch,307,0
watchi,340,0
watchin,341,0
watching,342,0
watchings,309,497000
f,300,0
fl,305,0
fla,292,0
flas,285,0
flash,296,0
flashi,368,0
flashin,369,0
flashing,370,0
flashings,350,5840000
s,310,0
st,284,0
str,327,0
stro,287,0
stron,354,0
strong,332,0
stronge,369,0
stronges,401,0
strongest,400,1630000000
s,310,0
st,284,0
str,327,0
stri,279,0
strik,325,0
striki,355,0
strikin,356,0
striking,357,0
strikings,290,68800
f,300,0
fl,305,0
fli,302,0
flig,325,0
fligh,326,0
flight,327,0
flighti,308,0
flightin,314,0
flighting,351,1130000
f,300,0
fl,305,0
flo,331,0
flow,347,0
flowe,348,0
flower,349,0
floweri,359,0
flowerin,360,0
flowering,361,425000000
p,283,0
pr,333,0
pro,299,0
prom,310,0
promi,331,0
promis,329,0
promise,339,0
promiser,305,0
promisers,362,37300
p,283,0
pr,333,0
pro,299,0
prom,310,0
promi,331,0
promis,337,0
promisi,376,0
promisin,377,0
promising,378,623000000
b,298,0
ba,306,0
bat,315,0
bath,333,0
bathr,367,0
bathro,368,0
bathroo,369,0
bathroom,370,0
bathrooms,334,737000000
p,283,0
pr,333,0
pre,363,0
pret,326,0
prett,338,0
pretti,362,0
prettie,363,0
pretties,380,0
prettiest,405,157000000
p,283,0
pr,333,0
pre,363,0
pret,326,0
prete,356,0
preten,315,0
pretend,358,0
pretende,325,0
pretended,354,326000000
s,310,0
st,297,0
str,327,0
stre,314,0
stret,339,0
stretc,340,0
stretch,371,0
stretche,370,0
stretched,312,678000000
f,300,0
fo,262,0
for,310,0
fore,321,0
foreh,347,0
forehe,357,0
forehea,361,0
forehead,362,0
foreheads,322,11900000
f,300,0
fo,262,0
for,310,0
fore,321,0
fores,289,0
forest,285,0
foresti,308,0
forestin,280,0
foresting,312,339000
s,310,0
st,297,0
str,327,0
stre,314,0
stret,339,0
stretc,340,0
stretch,371,0
stretche,366,0
stretches,391,939000000
f,300,0
fo,262,0
for,310,0
forg,330,0
forgo,342,0
forgot,354,0
forgott,364,0
forgotte,365,0
forgotten,366,401000000
p,283,0
pr,333,0
pre,363,0
pres,322,0
press,374,0
pressi,309,0
pressin,321,0
pressing,322,0
pressings,303,5720000
s,310,0
st,297,0
str,327,0
stra,357,0
stran,371,0
strang,375,0
strange,376,0
stranges,320,0
strangest,335,44900000
p,283,0
pr,333,0
pre,363,0
prep,306,0
prepa,312,0
prepar,323,0
prepari,401,0
preparin,402,0
preparing,403,2140000000
f,300,0
fo,262,0
for,344,0
forw,355,0
forwa,356,0
forwar,357,0
forward,358,0
forwarde,314,0
forwarded,331,238000000
s,310,0
st,297,0
str,327,0
stra,357,0
stran,371,0
strang,375,0
strange,376,0
stranger,426,0
strangers,352,455000000
p,283,0
po,290,0
pos,300,0
poss,299,0
possi,322,0
possib,323,0
possibl,348,0
possible,384,0
possibles,310,7540000000
p,283,0
po,290,0
pos,300,0
posi,344,0
posit,345,0
positi,357,0
positio,371,0
position,372,0
positions,379,3860000000
s,310,0
st,297,0
str,327,0
stra,357,0
strai,380,0
straig,357,0
straigh,358,0
straight,383,0
straights,340,2780000000
p,283,0
po,290,0
poc,261,0
pock,295,0
pocke,314,0
pocket,315,0
pocketi,317,0
pocketin,318,0
pocketing,339,17300000
g,303,0
ga,270,0
gar,278,0
gard,316,0
garde,304,0
garden,311,0
gardeni,339,0
gardenin,358,0
gardening,359,949000000
p,283,0
pl,317,0
ple,304,0
plea,291,0
pleas,302,0
pleasi,354,0
pleasin,355,0
pleasing,356,0
pleasings,321,244000000
w,284,0
wo,290,0
won,291,0
wond,317,0
wonde,318,0
wonder,319,0
wonderi,306,0
wonderin,335,0
wondering,329,948000000
p,283,0
pi,258,0
pic,270,0
pict,313,0
pictu,324,0
pictur,325,0
picturi,282,0
picturin,356,0
picturing,357,19300000
p,283,0
pe,284,0
per,337,0
pers,327,0
perso,339,0
person,340,0
persona,346,0
personal,377,0
personals,349,48200000
p,283,0
pe,284,0
per,337,0
perf,305,0
perfe,334,0
perfec,335,0
perfect,336,0
perfecte,353,0
perfected,353,70500000
s,310,0
st,297,0
sto,303,0
stom,319,0
stoma,326,0
stomac,336,0
stomach,337,0
stomache,368,0
stomaches,372,177000
s,310,0
st,297,0
sto,303,0
stom,316,0
stoma,326,0
stomac,336,0
stomach,337,0
stomache,368,0
stomached,329,202000
c,265,0
ca,287,0
car,285,0
care,302,0
caref,330,0
carefu,340,0
careful,347,0
carefull,356,0
carefully,350,1460000000
s,310,0
st,297,0
sta,320,0
stat,364,0
stati,300,0
statio,317,0
station,318,0
statione,364,0
stationed,345,104000000
c,265,0
ca,287,0
cat,319,0
catc,316,0
catch,317,0
catchi,338,0
catchin,329,0
catching,342,0
catchings,339,398000000
p,283,0
pa,268,0
par,323,0
pare,307,0
paren,308,0
parent,339,0
parenti,366,0
parentin,384,0
parenting,385,707000000
p,283,0
pa,268,0
pai,292,0
pain,289,0
paint,311,0
painti,377,0
paintin,354,0
painting,355,0
paintings,357,1350000000
o,300,0
or,336,0
ord,306,0
orde,321,0
order,336,0
orderi,397,0
orderin,398,0
ordering,399,0
orderings,334,401000
g,303,0
gr,305,0
gro,334,0
grou,320,0
group,298,0
groupi,301,0
groupin,322,0
grouping,341,0
groupings,353,370000000
w,284,0
wi,303,0
win,341,0
wint,342,0
winte,367,0
winter,344,0
winteri,319,0
winterin,329,0
wintering,330,22900000
o,300,0
of,312,0
off,313,0
offi,324,0
offic,352,0
office,326,0
officer,321,0
officere,268,0
officered,328,1950000
o,300,0
of,312,0
off,313,0
offe,336,0
offer,301,0
offeri,345,0
offerin,346,0
offering,347,0
offerings,350,1320000000
c,265,0
ce,311,0
cen,324,0
cent,317,0
cente,370,0
center,397,0
centeri,304,0
centerin,334,0
centering,335,80600000
n,277,0
ne,275,0
nei,318,0
neig,337,0
neigh,338,0
neighb,339,0
neighbo,340,0
neighbor,371,0
neighbors,326,954000000
c,265,0
ce,311,0
cer,273,0
cert,311,0
certa,345,0
certai,340,0
certain,341,0
certainl,332,0
certainly,333,665000000
n,277,0
na,288,0
nar,295,0
narr,336,0
narro,351,0
narrow,352,0
narrowi,370,0
narrowin,371,0
narrowing,372,185000000
n,277,0
na,288,0
nar,295,0
narr,336,0
narro,351,0
narrow,352,0
narrowe,318,0
narrowes,378,0
narrowest,379,147000000
m,277,0
mo,309,0
mou,311,0
moun,327,0
mount,322,0
mounta,340,0
mountai,341,0
mountain,342,0
mountains,390,1480000000
m,277,0
mo,309,0
mot,297,0
moth,325,0
mothe,333,0
mother,334,0
motheri,326,0
motherin,327,0
mothering,328,16600000
m,277,0
mi,315,0
mir,316,0
mirr,326,0
mirro,323,0
mirror,328,0
mirrori,330,0
mirrorin,331,0
mirroring,332,117000000
m,277,0
mi,315,0
mid,315,0
midd,348,0
middl,349,0
middli,307,0
middlin,289,0
middling,310,0
middlings,339,924000
m,277,0
me,277,0
mes,270,0
mess,280,0
messa,296,0
messag,327,0
messagi,369,0
messagin,370,0
messaging,360,380000000
s,310,0
st,284,0
sta,320,0
stan,350,0
stand,375,0
standi,338,0
standin,339,0
standing,340,0
standings,319,167000000
m,277,0
me,277,0
men,290,0
ment,301,0
menti,304,0
mentio,299,0
mention,300,0
mentione,349,0
mentioned,350,3560000000
m,277,0
ma,285,0
mat,280,0
matt,300,0
matte,325,0
matter,335,0
matteri,282,0
matterin,328,0
mattering,328,2620000
m,277,0
ma,285,0
mar,306,0
marr,366,0
marri,372,0
marria,368,0
marriag,369,0
marriage,370,0
marriages,386,1140000000
h,289,0
hi,296,0
his,359,0
hist,346,0
histo,362,0
histor,397,0
histori,377,0
historie,314,0
histories,372,313000000
m,277,0
ma,285,0
mac,220,0
mach,302,0
machi,332,0
machin,330,0
machini,349,0
machinin,328,0
machining,329,98300000
h,289,0
ho,289,0
hos,291,0
hosp,331,0
hospi,332,0
hospit,348,0
hospita,349,0
hospital,350,0
hospitals,369,2280000000
l,282,0
li,289,0
lis,334,0
list,356,0
liste,298,0
listen,303,0
listeni,367,0
listenin,368,0
listening,369,1950000000
l,282,0
li,289,0
lig,293,0
ligh,304,0
light,305,0
lighti,362,0
lightin,363,0
lighting,375,0
lightings,298,19500000
s,310,0
sp,294,0
spr,262,0
spri,259,0
sprin,345,0
spring,352,0
springi,347,0
springin,349,0
springing,350,18500000
h,289,0
hu,294,0
hus,286,0
husb,341,0
husba,342,0
husban,343,0
husband,344,0
husbande,327,0
husbanded,326,853000
s,310,0
sp,294,0
spr,332,0
spre,299,0
sprea,339,0
spread,340,0
spreade,293,0
spreader,298,0
spreaders,341,46200000
w,284,0
wh,323,0
whi,314,0
whis,309,0
whisp,323,0
whispe,348,0
whisper,349,0
whispere,330,0
whispered,329,189000000
i,293,0
im,309,0
ima,276,0
imag,303,0
imagi,325,0
imagin,326,0
imagine,330,0
imaginer,334,0
imaginers,360,36200
i,293,0
im,309,0
imp,327,0
impo,291,0
impor,326,0
import,327,0
importa,372,0
importan,373,0
important,378,9860000000
l,282,0
la,289,0
lan,325,0
lang,304,0
langu,311,0
langua,337,0
languag,338,0
language,339,0
languages,368,6410000000
a,306,0
an,292,0
ans,299,0
answ,354,0
answe,355,0
answer,356,0
answeri,412,0
answerin,413,0
answering,414,2660000000
i,293,0
in,313,0
int,362,0
inte,371,0
inter,378,0
intere,355,0
interes,394,0
interest,395,0
interests,378,3490000000
s,310,0
sp,294,0
spi,303,0
spir,300,0
spiri,305,0
spirit,306,0
spiriti,290,0
spiritin,280,0
spiriting,321,604000
c,265,0
cl,290,0
cle,320,0
clea,321,0
clean,316,0
cleani,366,0
cleanin,367,0
cleaning,368,0
cleanings,330,20900000
k,255,0
kn,323,0
kno,325,0
knoc,337,0
knock,338,0
knocki,351,0
knockin,352,0
knocking,356,0
knockings,354,170000
s,310,0
so,304,0
sou,360,0
soun,300,0
sound,301,0
sounde,334,0
soundes,316,0
soundest,311,1230000
c,265,0
co,318,0
coa,290,0
coat,243,0
coati,283,0
coatin,306,0
coating,307,0
coatings,296,328000000
s,310,0
so,304,0
sou,360,0
soun,300,0
sound,301,0
sounde,334,0
sounder,342,0
sounders,345,28200000
c,265,0
co,284,0
col,356,0
coll,380,0
colle,385,0
colleg,401,0
college,402,0
colleges,361,3080000000
c,265,0
co,284,0
col,356,0
colo,352,0
color,355,0
colorf,329,0
colorfu,345,0
colorful,376,3030000000
w,284,0
wo,288,0
wou,344,0
woul,402,0
would,403,0
wouldn,414,0
wouldn-,420,0
wouldn-t,421,593000000
t,281,0
tr,318,0
tra,320,0
trai,302,0
train,311,0
traini,348,0
trainin,349,0
training,377,2890000000
c,265,0
co,284,0
col,356,0
colo,352,0
color,355,0
colore,366,0
colorer,291,0
colorers,358,75800
s,310,0
so,304,0
sor,281,0
sorr,300,0
sorri,264,0
sorrie,282,0
sorries,298,0
sorriest,330,197000
w,284,0
wo,288,0
wor,289,0
worr,270,0
worry,324,0
worryi,333,0
worryin,334,0
worrying,335,1570000000
b,298,0
be,283,0
bel,314,0
belo,331,0
belon,325,0
belong,327,0
belonge,283,0
belonged,303,608000000
a,306,0
ap,306,0
app,291,0
appr,306,0
appro,303,0
approa,335,0
approac,336,0
approach,337,2470000000
t,281,0
tr,318,0
tra,320,0
trac,316,0
track,322,0
tracki,376,0
trackin,347,0
tracking,348,3570000000
t,271,0
to,291,0
tou,281,0
touc,323,0
touch,332,0
touche,320,0
toucher,335,0
touchers,341,485000
w,284,0
wh,323,0
wha,328,0
what,329,0
whate,345,0
whatev,358,0
whateve,359,0
whatever,360,1150000000
t,271,0
to,291,0
top,282,0
topp,290,0
toppi,327,0
toppin,338,0
topping,343,0
toppings,325,277000000
c,265,0
co,284,0
con,321,0
conf,299,0
confu,301,0
confus,300,0
confuse,329,0
confused,338,1320000000
c,265,0
co,284,0
con,321,0
conf,329,0
confu,301,0
confus,300,0
confuse,329,0
confuses,332,172000000
w,284,0
wo,288,0
wor,289,0
work,314,0
worki,332,0
workin,337,0
working,332,0
workings,330,6090000000
b,298,0
be,283,0
bet,325,0
bett,339,0
bette,350,0
better,349,0
bettere,262,0
bettered,310,15600000
t,271,0
te,304,0
tee,322,0
teet,315,0
teeth,316,0
teethi,320,0
teethin,321,0
teething,322,47800000
t,271,0
to,291,0
ton,305,0
toni,294,0
tonig,358,0
tonigh,359,0
tonight,360,0
tonights,387,793000000
t,271,0
to,291,0
ton,305,0
tong,288,0
tongu,331,0
tongue,332,0
tonguer,293,0
tonguers,15,466000
t,271,0
to,291,0
ton,305,0
tong,288,0
tongu,331,0
tongui,336,0
tonguin,319,0
tonguing,346,18400000
a,305,0
ar,293,0
arr,323,0
arri,293,0
arriv,307,0
arrivi,302,0
arrivin,330,0
arriving,331,2180000000
c,265,0
co,284,0
con,321,0
cont,295,0
contr,298,0
contro,315,0
control,344,0
controls,412,5930000000
t,271,0
to,291,0
tog,276,0
toge,307,0
toget,341,0
togeth,343,0
togethe,344,0
together,345,5590000000
b,298,0
bl,266,0
bla,308,0
blac,242,0
black,310,0
blacki,309,0
blackin,309,0
blacking,338,9140000
b,298,0
bl,266,0
bla,308,0
blac,309,0
black,310,0
blacke,391,0
blackes,378,0
blackest,379,16100000
t,271,0
th,302,0
thr,313,0
thro,311,0
throw,306,0
throwe,284,0
thrower,293,0
throwers,305,10300000
b,298,0
bl,266,0
blo,287,0
bloc,287,0
block,288,0
blocki,320,0
blockin,334,0
blocking,335,1300000000
t,271,0
th,302,0
thr,313,0
thro,311,0
throw,306,0
throwi,319,0
throwin,320,0
throwing,321,1410000000
c,265,0
co,284,0
coo,262,0
cool,280,0
cooli,321,0
coolin,330,0
cooling,329,0
coolings,332,323000
s,310,0
so,304,0
som,332,0
some,433,0
someo,374,0
someon,375,0
someone,376,0
someones,403,5590000000
b,298,0
bl,266,0
blo,287,0
bloc,287,0
block,315,0
blocke,282,0
