,from,to,percentage
2000,room,roomi,1.0
2001,roomi,roomin,1.0
2002,roomin,rooming,1.0
2003,rooming,rooming,1.0
2004,rol,roll,1.0
2005,roll,rolli,1.0
2006,rolli,rollin,1.0
2007,rollin,rolling,1.0
2008,rolling,rollings,1.0
2009,rollings,rollings,1.0
2010,row,rowi,1.0
2011,rowi,rowin,1.0
2012,rowin,rowing,1.0
2013,rowing,rowings,1.0
2014,rowings,rowings,1.0
2015,roc,rock,1.0
2016,rock,rocki,1.0
2017,rocki,rockin,1.0
2018,rockin,rocking,1.0
2019,rocking,rocking,1.0
2020,ri,rin,0.00266351
2021,ri,rig,0.66698727
2022,ri,ris,0.0521604
2023,ri,rid,0.27818881
2024,rin,ring,1.0
2025,ring,ringi,1.0
2026,ringi,ringin,1.0
2027,ringin,ringing,1.0
2028,ringing,ringings,1.0
2029,ringings,ringings,1.0
2030,rig,righ,1.0
2031,righ,right,1.0
2032,right,righti,0.59900166
2033,right,righte,0.40099834
2034,righti,rightin,1.0
2035,rightin,righting,1.0
2036,righting,righting,1.0
2037,righte,righter,0.30428769
2038,righte,righted,0.69571231
2039,righter,righter,1.0
2040,righted,righted,1.0
2041,ris,risi,1.0
2042,risi,risin,1.0
2043,risin,rising,1.0
2044,rising,risings,1.0
2045,risings,risings,1.0
2046,rid,ridi,1.0
2047,ridi,ridin,1.0
2048,ridin,riding,1.0
2049,riding,ridings,1.0
2050,ridings,ridings,1.0
2051,ra,rai,1.0
2052,rai,rais,0.87803211
2053,rai,rain,0.12196789
2054,rais,raisi,1.0
2055,raisi,raisin,1.0
2056,raisin,raising,1.0
2057,raising,raising,1.0
2058,rain,raini,1.0
2059,raini,rainin,1.0
2060,rainin,raining,1.0
2061,raining,raining,1.0
2062,e,ex,0.4374946
2063,e,ev,0.05752948
2064,e,ea,0.08788189
2065,e,em,0.00599854
2066,e,en,0.35044381
2067,e,ed,0.00283311
2068,e,ef,0.05781857
2069,ex,exp,0.75784007
2070,ex,exc,0.13026585
2071,ex,exa,0.11189408
2072,exp,expr,0.21914782
2073,exp,expe,0.28558972
2074,exp,expl,0.49526245
2075,expr,expre,1.0
2076,expre,expres,1.0
2077,expres,express,1.0
2078,express,expressi,1.0
2079,expressi,expressio,1.0
2080,expressio,expression,1.0
2081,expression,expressions,1.0
2082,expressions,expressions,1.0
2083,expe,expec,1.0
2084,expec,expect,1.0
2085,expect,expecti,0.05353145
2086,expect,expecte,0.33584368
2087,expect,expects,0.61062487
2088,expecti,expectin,1.0
2089,expectin,expecting,1.0
2090,expecting,expecting,1.0
2091,expecte,expected,1.0
2092,expected,expected,1.0
2093,expects,expects,1.0
2094,expl,expla,1.0
2095,expla,explai,1.0
2096,explai,explain,1.0
2097,explain,explaine,0.4741784
2098,explain,explains,0.5258216
2099,explaine,explained,1.0
2100,explained,explained,1.0
2101,explains,explains,1.0
2102,exc,exce,0.04499094
2103,exc,exci,0.95500906
2104,exce,excep,1.0
2105,excep,except,1.0
2106,except,excepti,0.53141912
2107,except,excepte,0.44948888
2108,except,excepts,0.019092
2109,excepti,exceptin,1.0
2110,exceptin,excepting,1.0
2111,excepting,excepting,1.0
2112,excepte,excepted,1.0
2113,excepted,excepted,1.0
2114,excepts,excepts,1.0
2115,exci,excit,1.0
2116,excit,exciti,0.40014164
2117,excit,excite,0.59985836
2118,exciti,excitin,1.0
2119,excitin,exciting,1.0
2120,exciting,exciting,1.0
2121,excite,excited,0.88547816
2122,excite,excites,0.11452184
2123,excited,excited,1.0
2124,excites,excites,1.0
2125,exa,exac,1.0
2126,exac,exact,1.0
2127,exact,exactl,1.0
2128,exactl,exactly,1.0
2129,exactly,exactly,1.0
2130,ev,eve,1.0
2131,eve,ever,1.0
2132,ever,every,1.0
2133,every,everyb,0.2160804
2134,every,everyo,0.7839196
2135,everyb,everybo,1.0
2136,everybo,everybod,1.0
2137,everybod,everybody,1.0
2138,everybody,everybody,1.0
2139,everyo,everyon,1.0
2140,everyon,everyone,1.0
2141,everyone,everyone,1.0
2142,ea,ear,0.76745677
2143,ea,eas,0.23254323
2144,ear,earl,0.99013862
2145,ear,eart,0.00986138
2146,earl,earli,1.0
2147,earli,earlie,1.0
2148,earlie,earlies,0.16305916
2149,earlie,earlier,0.83694084
2150,earlies,earliest,1.0
2151,earliest,earliest,1.0
2152,earlier,earlier,1.0
2153,eart,earth,1.0
2154,earth,earthi,0.81425674
2155,earth,earthe,0.18574326
2156,earthi,earthin,1.0
2157,earthin,earthing,1.0
2158,earthing,earthing,1.0
2159,earthe,earthed,1.0
2160,earthed,earthed,1.0
2161,eas,east,0.00034799
2162,eas,easi,0.99965201
2163,east,easte,1.0
2164,easte,eastes,1.0
2165,eastes,eastest,1.0
2166,eastest,eastest,1.0
2167,easi,easie,1.0
2168,easie,easies,1.0
2169,easies,easiest,1.0
2170,easiest,easiest,1.0
2171,em,emp,1.0
2172,emp,empt,1.0
2173,empt,empti,0.55340361
2174,empt,empty,0.44659639
2175,empti,emptie,1.0
2176,emptie,empties,0.00135274
2177,emptie,emptied,0.9869777
2178,emptie,emptier,0.01166956
2179,empties,emptiest,1.0
2180,emptiest,emptiest,1.0
2181,emptied,emptied,1.0
2182,emptier,emptier,1.0
2183,empty,emptyi,1.0
2184,emptyi,emptyin,1.0
2185,emptyin,emptying,1.0
2186,emptying,emptying,1.0
2187,en,enj,0.26518367
2188,en,ent,0.54725406
2189,en,end,0.09569229
2190,en,eng,0.0918426
2191,en,eno,2.739e-05
2192,enj,enjo,1.0
2193,enjo,enjoy,1.0
2194,enjoy,enjoyi,0.420995
2195,enjoy,enjoye,0.579005
2196,enjoyi,enjoyin,1.0
2197,enjoyin,enjoying,1.0
2198,enjoying,enjoying,1.0
2199,enjoye,enjoyer,0.00068412
2200,enjoye,enjoyed,0.99931588
2201,enjoyer,enjoyers,1.0
2202,enjoyers,enjoyers,1.0
2203,enjoyed,enjoyed,1.0
2204,ent,ente,0.99991197
2205,ent,enti,8.803e-05
2206,ente,enter,1.0
2207,enter,enteri,0.3879397
2208,enter,entere,0.6120603
2209,enteri,enterin,1.0
2210,enterin,entering,1.0
2211,entering,entering,1.0
2212,entere,entered,1.0
2213,entered,entered,1.0
2214,enti,entir,1.0
2215,entir,entire,1.0
2216,entire,entires,1.0
2217,entires,entires,1.0
2218,end,endi,1.0
2219,endi,endin,1.0
2220,endin,ending,1.0
2221,ending,endings,1.0
2222,endings,endings,1.0
2223,eng,engi,1.0
2224,engi,engin,1.0
2225,engin,engine,1.0
2226,engine,engines,1.0
2227,engines,engines,1.0
2228,eno,enou,1.0
2229,enou,enoug,1.0
2230,enoug,enough,1.0
2231,enough,enoughs,1.0
2232,enoughs,enoughs,1.0
2233,ed,edg,1.0
2234,edg,edgi,1.0
2235,edgi,edgin,1.0
2236,edgin,edging,1.0
2237,edging,edgings,1.0
2238,edgings,edgings,1.0
2239,ef,eff,1.0
2240,eff,effo,1.0
2241,effo,effor,1.0
2242,effor,effort,1.0
2243,effort,efforts,1.0
2244,efforts,efforts,1.0
2245,s,st,0.17458626
2246,s,sp,0.10091781
2247,s,so,0.04379275
2248,s,si,0.03142465
2249,s,su,0.08059856
2250,s,sh,0.0931113
2251,s,se,0.29867551
2252,s,sc,0.05007919
2253,s,sn,0.00044692
2254,s,sm,0.00449931
2255,s,sl,0.02191852
2256,s,sk,8.506e-05
2257,s,sw,0.00266462
2258,s,sa,0.02365217
2259,s,sy,0.07354736
2260,st,str,0.24088049
2261,st,sta,0.48821577
2262,st,stu,0.10998854
2263,st,sto,0.07223656
2264,st,sti,0.05092885
2265,st,ste,0.0377498
2266,str,stra,0.3711844
2267,str,stre,0.34943706
2268,str,stro,0.27937085
2269,str,stri,7.69e-06
2270,stra,strai,0.84950069
2271,stra,stran,0.15049931
2272,strai,straig,1.0
2273,straig,straigh,1.0
2274,straigh,straight,1.0
2275,straight,straighte,0.01478182
2276,straight,straights,0.98521818
2277,straighte,straightes,0.06257492
2278,straighte,straighter,0.93742508
2279,straightes,straightest,1.0
2280,straightest,straightest,1.0
2281,straighter,straighter,1.0
2282,straights,straights,1.0
2283,stran,strang,1.0
2284,strang,strange,1.0
2285,strange,stranges,0.08981796
2286,strange,stranger,0.91018204
2287,stranges,strangest,1.0
2288,strangest,strangest,1.0
2289,stranger,strangers,1.0
2290,strangers,strangers,1.0
2291,stre,stret,1.0
2292,stret,stretc,1.0
2293,stretc,stretch,1.0
2294,stretch,stretchi,0.48289095
2295,stretch,stretche,0.51710905
2296,stretchi,stretchin,1.0
2297,stretchin,stretching,1.0
2298,stretching,stretching,1.0
2299,stretche,stretched,0.41929499
2300,stretche,stretches,0.58070501
2301,stretched,stretched,1.0
2302,stretches,stretches,1.0
2303,stro,stron,1.0
2304,stron,strong,1.0
2305,strong,stronge,1.0
2306,stronge,stronges,0.652
2307,stronge,stronger,0.348
2308,stronges,strongest,1.0
2309,strongest,strongest,1.0
2310,stronger,stronger,1.0
2311,stri,strik,1.0
2312,strik,striki,1.0
2313,striki,strikin,1.0
2314,strikin,striking,1.0
2315,striking,strikings,1.0
2316,strikings,strikings,1.0
2317,sta,stat,0.212771
2318,sta,stan,0.00920762
2319,sta,star,0.69586957
2320,sta,stay,0.08215182
2321,stat,stati,1.0
2322,stati,statio,0.86188346
2323,stati,statin,0.13811654
2324,statio,station,1.0
2325,station,stationi,0.00061935
2326,station,statione,0.03126823
2327,station,stations,0.96811242
2328,stationi,stationin,1.0
2329,stationin,stationing,1.0
2330,stationing,stationing,1.0
2331,statione,stationed,1.0
2332,stationed,stationed,1.0
2333,stations,stations,1.0
2334,statin,stating,1.0
2335,stating,stating,1.0
2336,stan,stand,1.0
2337,stand,standi,1.0
2338,standi,standin,1.0
2339,standin,standing,1.0
2340,standing,standings,1.0
2341,standings,standings,1.0
2342,star,start,0.88027245
2343,star,starr,0.06045435
2344,star,stare,7.33e-06
2345,star,stari,0.05926587
2346,start,starte,0.61746175
2347,start,starti,0.38253825
2348,starte,starter,0.18804665
2349,starte,started,0.81195335
2350,starter,starters,1.0
2351,starters,starters,1.0
2352,started,started,1.0
2353,starti,startin,1.0
2354,startin,starting,1.0
2355,starting,starting,1.0
2356,starr,starri,0.5819135
2357,starr,starre,0.4180865
2358,starri,starrin,1.0
2359,starrin,starring,1.0
2360,starring,starring,1.0
2361,starre,starred,1.0
2362,starred,starred,1.0
2363,stare,starer,1.0
2364,starer,starers,1.0
2365,starers,starers,1.0
2366,stari,starin,1.0
2367,starin,staring,1.0
2368,staring,staring,1.0
2369,stay,stayi,1.0
2370,stayi,stayin,1.0
2371,stayin,staying,1.0
2372,staying,staying,1.0
2373,stu,stup,0.00466464
2374,stu,stuf,0.03108129
2375,stu,stud,0.96425407
2376,stup,stupi,1.0
2377,stupi,stupid,1.0
2378,stupid,stupide,1.0
2379,stupide,stupides,0.89192025
2380,stupide,stupider,0.10807975
2381,stupides,stupidest,1.0
2382,stupidest,stupidest,1.0
2383,stupider,stupider,1.0
2384,stuf,stuff,1.0
2385,stuff,stuffi,1.0
2386,stuffi,stuffin,1.0
2387,stuffin,stuffing,1.0
2388,stuffing,stuffings,1.0
2389,stuffings,stuffings,1.0
2390,stud,study,0.26142132
2391,stud,stude,0.73857868
2392,study,studyi,1.0
2393,studyi,studyin,1.0
2394,studyin,studying,1.0
2395,studying,studying,1.0
2396,stude,studen,1.0
2397,studen,student,1.0
2398,student,students,1.0
2399,students,students,1.0
2400,sto,stom,0.01512122
2401,sto,stor,0.04508904
2402,sto,stop,0.93978974
2403,stom,stoma,1.0
2404,stoma,stomac,1.0
2405,stomac,stomach,1.0
2406,stomach,stomache,0.00933981
2407,stomach,stomachs,0.99066019
2408,stomache,stomaches,0.46701847
2409,stomache,stomached,0.53298153
2410,stomaches,stomaches,1.0
2411,stomached,stomached,1.0
2412,stomachs,stomachs,1.0
2413,stor,storm,1.0
2414,storm,stormi,1.0
2415,stormi,stormin,1.0
2416,stormin,storming,1.0
2417,storming,storming,1.0
2418,stop,stopp,1.0
2419,stopp,stoppe,0.0999207
2420,stopp,stoppi,0.9000793
2421,stoppe,stopper,1.0
2422,stopper,stoppers,1.0
2423,stoppers,stoppers,1.0
2424,stoppi,stoppin,1.0
2425,stoppin,stopping,1.0
2426,stopping,stopping,1.0
2427,sti,stic,1.0
2428,stic,stick,1.0
2429,stick,sticke,0.26004228
2430,stick,sticki,0.73995772
2431,sticke,sticker,1.0
2432,sticker,stickers,1.0
2433,stickers,stickers,1.0
2434,sticki,stickin,1.0
2435,stickin,sticking,1.0
2436,sticking,sticking,1.0
2437,ste,step,0.59112949
2438,ste,stea,0.40887051
2439,step,stepp,1.0
2440,stepp,steppi,0.36670688
2441,stepp,steppe,0.63329312
2442,steppi,steppin,1.0
2443,steppin,stepping,1.0
2444,stepping,stepping,1.0
2445,steppe,stepped,1.0
2446,stepped,stepped,1.0
2447,stea,steal,1.0
2448,steal,steale,0.06696896
2449,steal,steali,0.93303104
2450,steale,stealer,1.0
2451,stealer,stealers,1.0
2452,stealers,stealers,1.0
2453,steali,stealin,1.0
2454,stealin,stealing,1.0
2455,stealing,stealing,1.0
2456,sp,spr,0.24898361
2457,sp,spi,0.0802643
2458,sp,spo,0.03888404
2459,sp,spe,0.63133717
2460,sp,spa,0.00053087
2461,spr,spre,0.43357585
2462,spr,spri,0.56642415
2463,spre,sprea,1.0
2464,sprea,spread,1.0
2465,spread,spreadi,0.25105685
2466,spread,spreade,0.01992926
2467,spread,spreads,0.72901389
2468,spreadi,spreadin,1.0
2469,spreadin,spreading,1.0
2470,spreading,spreadings,1.0
2471,spreadings,spreadings,1.0
2472,spreade,spreader,1.0
2473,spreader,spreaders,1.0
2474,spreaders,spreaders,1.0
2475,spreads,spreads,1.0
2476,spri,sprin,1.0
2477,sprin,spring,1.0
2478,spring,springi,0.00610863
2479,spring,springs,0.99389137
2480,springi,springin,1.0
2481,springin,springing,1.0
2482,springing,springing,1.0
2483,springs,springs,1.0
2484,spi,spir,0.88802532
2485,spi,spin,0.11197468
2486,spir,spiri,1.0
2487,spiri,spirit,1.0
2488,spirit,spiriti,0.00039462
2489,spirit,spirite,0.09146716
2490,spirit,spirits,0.90813823
2491,spiriti,spiritin,1.0
2492,spiritin,spiriting,1.0
2493,spiriting,spiriting,1.0
2494,spirite,spirited,1.0
2495,spirited,spirited,1.0
2496,spirits,spirits,1.0
2497,spin,spinn,1.0
2498,spinn,spinne,1.0
2499,spinne,spinner,1.0
2500,spinner,spinners,1.0
2501,spinners,spinners,1.0
2502,spo,spot,1.0
2503,spot,spott,1.0
2504,spott,spotti,0.53532934
2505,spott,spotte,0.46467066
2506,spotti,spottin,1.0
2507,spottin,spotting,1.0
2508,spotting,spotting,1.0
2509,spotte,spotted,1.0
2510,spotted,spotted,1.0
2511,spe,spen,0.00349625
2512,spe,spec,0.54361456
2513,spe,spea,0.4528892
2514,spen,spend,1.0
2515,spend,spende,1.0
2516,spende,spender,1.0
2517,spender,spenders,1.0
2518,spenders,spenders,1.0
2519,spec,speci,1.0
2520,speci,specia,1.0
2521,specia,special,1.0
2522,special,specials,1.0
2523,specials,specials,1.0
2524,spea,speak,1.0
2525,speak,speake,0.24267101
2526,speak,speaki,0.75732899
2527,speake,speaker,1.0
2528,speaker,speakers,1.0
2529,speakers,speakers,1.0
2530,speaki,speakin,1.0
2531,speakin,speaking,1.0
2532,speaking,speaking,1.0
2533,spa,spac,1.0
2534,spac,spaci,1.0
2535,spaci,spacin,1.0
2536,spacin,spacing,1.0
2537,spacing,spacings,1.0
2538,spacings,spacings,1.0
2539,so,som,0.7315497
2540,so,sol,0.07948856
2541,so,sou,0.11465595
2542,so,sor,0.07430579
2543,som,some,1.0
2544,some,someb,0.13231627
2545,some,someo,0.8200088
2546,some,someh,0.04767493
2547,someb,somebo,1.0
2548,somebo,somebod,1.0
2549,somebod,somebodi,0.00332594
2550,somebod,somebody,0.99667406
2551,somebodi,somebodie,1.0
2552,somebodie,somebodies,1.0
2553,somebodies,somebodies,1.0
2554,somebody,somebody,1.0
2555,someo,someon,1.0
2556,someon,someone,1.0
2557,someone,someones,1.0
2558,someones,someones,1.0
2559,someh,someho,1.0
2560,someho,somehow,1.0
2561,somehow,somehow,1.0
2562,sol,sold,1.0
2563,sold,soldi,1.0
2564,soldi,soldie,1.0
2565,soldie,soldier,1.0
2566,soldier,soldieri,0.00637218
2567,soldier,soldiers,0.99362782
2568,soldieri,soldierin,1.0
2569,soldierin,soldiering,1.0
2570,soldiering,soldiering,1.0
2571,soldiers,soldiers,1.0
2572,sou,soun,0.30365115
2573,sou,sout,0.69634885
2574,soun,sound,1.0
2575,sound,sounde,1.0
2576,sounde,soundes,0.00379126
2577,sounde,sounder,0.08692168
2578,sounde,sounded,0.90928706
2579,soundes,soundest,1.0
2580,soundest,soundest,1.0
2581,sounder,sounders,1.0
2582,sounders,sounders,1.0
2583,sounded,sounded,1.0
2584,sout,south,1.0
2585,south,southe,1.0
2586,southe,southes,1.0
2587,southes,southest,1.0
2588,southest,southest,1.0
2589,sor,sorr,0.00061234
2590,sor,sort,0.99938766
2591,sorr,sorri,1.0
2592,sorri,sorrie,1.0
2593,sorrie,sorries,0.46462264
2594,sorrie,sorrier,0.53537736
2595,sorries,sorriest,1.0
2596,sorriest,sorriest,1.0
2597,sorrier,sorrier,1.0
2598,sort,sorti,1.0
2599,sorti,sortin,1.0
2600,sortin,sorting,1.0
2601,sorting,sorting,1.0
2602,si,sit,0.86588632
2603,si,sin,0.00712001
2604,si,sim,0.08359766
2605,si,sil,0.03632236
2606,si,sig,0.00707365
2607,sit,situ,0.69430052
2608,sit,sitt,0.30569948
2609,situ,situa,1.0
2610,situa,situat,1.0
2611,situat,situati,1.0
2612,situati,situatio,1.0
2613,situatio,situation,1.0
2614,situation,situations,1.0
2615,situations,situations,1.0
2616,sitt,sitti,1.0
2617,sitti,sittin,1.0
2618,sittin,sitting,1.0
2619,sitting,sittings,1.0
2620,sittings,sittings,1.0
2621,sin,sing,1.0
2622,sing,singl,0.99348876
2623,sing,singi,0.00651124
2624,singl,singli,1.0
2625,singli,singlin,1.0
2626,singlin,singling,1.0
2627,singling,singling,1.0
2628,singi,singin,1.0
2629,singin,singing,1.0
2630,singing,singings,1.0
2631,singings,singings,1.0
2632,sim,simp,1.0
2633,simp,simpl,1.0
2634,simpl,simple,1.0
2635,simple,simples,1.0
2636,simples,simplest,1.0
2637,simplest,simplest,1.0
2638,sil,silv,0.03326746
2639,sil,sile,0.96673254
2640,silv,silve,1.0
2641,silve,silver,1.0
2642,silver,silvere,1.0
2643,silvere,silvered,1.0
2644,silvered,silvered,1.0
2645,sile,silen,1.0
2646,silen,silenc,1.0
2647,silenc,silence,1.0
2648,silence,silences,0.09710392
2649,silence,silenced,0.90289608
2650,silences,silences,1.0
2651,silenced,silenced,1.0
2652,sig,sign,1.0
2653,sign,signi,1.0
2654,signi,signin,1.0
2655,signin,signing,1.0
2656,signing,signings,1.0
2657,signings,signings,1.0
2658,su,sug,0.56033646
2659,su,sur,0.25048964
2660,su,sup,0.12666753
2661,su,sui,0.0001242
2662,su,sud,0.0618061
2663,su,sun,0.00057608
2664,sug,sugg,1.0
2665,sugg,sugge,1.0
2666,sugge,sugges,1.0
2667,sugges,suggest,1.0
2668,suggest,suggesti,0.41207076
2669,suggest,suggeste,0.36420395
2670,suggest,suggests,0.22372529
2671,suggesti,suggestin,1.0
2672,suggestin,suggesting,1.0
2673,suggesting,suggesting,1.0
2674,suggeste,suggested,1.0
2675,suggested,suggested,1.0
2676,suggests,suggests,1.0
2677,sur,surp,0.49255121
2678,sur,surf,0.50744879
2679,surp,surpr,1.0
2680,surpr,surpri,1.0
2681,surpri,surpris,1.0
2682,surpris,surprise,1.0
2683,surprise,surprised,0.65217391
2684,surprise,surprises,0.34782609
2685,surprised,surprised,1.0
2686,surprises,surprises,1.0
2687,surf,surfa,1.0
2688,surfa,surfac,1.0
2689,surfac,surfaci,0.02018349
2690,surfac,surface,0.97981651
2691,surfaci,surfacin,1.0
2692,surfacin,surfacing,1.0
2693,surfacing,surfacing,1.0
2694,surface,surfaced,0.05430712
2695,surface,surfaces,0.94569288
2696,surfaced,surfaced,1.0
2697,surfaces,surfaces,1.0
2698,sup,supp,1.0
2699,supp,suppo,1.0
2700,suppo,suppos,1.0
2701,suppos,supposi,0.02393666
2702,suppos,suppose,0.97606334
2703,supposi,supposin,1.0
2704,supposin,supposing,1.0
2705,supposing,supposing,1.0
2706,suppose,supposed,0.99509527
2707,suppose,supposes,0.00490473
2708,supposed,supposed,1.0
2709,supposes,supposes,1.0
2710,sui,suit,1.0
2711,suit,suiti,1.0
2712,suiti,suitin,1.0
2713,suitin,suiting,1.0
2714,suiting,suitings,1.0
2715,suitings,suitings,1.0
2716,sud,sudd,1.0
2717,sudd,sudde,1.0
2718,sudde,sudden,1.0
2719,sudden,suddenl,1.0
2720,suddenl,suddenly,1.0
2721,suddenly,suddenly,1.0
2722,sun,sunn,1.0
2723,sunn,sunni,1.0
2724,sunni,sunnin,1.0
2725,sunnin,sunning,1.0
2726,sunning,sunning,1.0
2727,sh,she,0.00022712
2728,sh,sha,0.71802009
2729,sh,shu,0.01085148
2730,sh,shr,0.00364408
2731,sh,sho,0.05074958
2732,sh,shi,0.21650765
2733,she,shee,1.0
2734,shee,sheet,1.0
2735,sheet,sheeti,0.19555556
2736,sheet,sheete,0.80444444
2737,sheeti,sheetin,1.0
2738,sheetin,sheeting,1.0
2739,sheeting,sheetings,1.0
2740,sheetings,sheetings,1.0
2741,sheete,sheeted,1.0
2742,sheeted,sheeted,1.0
2743,sha,shad,0.09158511
2744,sha,shar,0.80498537
2745,sha,shap,0.04754637
2746,sha,shak,0.05588315
2747,shad,shado,1.0
2748,shado,shadow,1.0
2749,shadow,shadowi,0.04712564
2750,shadow,shadowe,0.07022795
2751,shadow,shadows,0.8826464
2752,shadowi,shadowin,1.0
2753,shadowin,shadowing,1.0
2754,shadowing,shadowing,1.0
2755,shadowe,shadowed,1.0
2756,shadowed,shadowed,1.0
2757,shadows,shadows,1.0
2758,shar,sharp,0.00233256
2759,shar,share,0.00219179
2760,shar,shari,0.99547565
2761,sharp,sharpe,1.0
2762,sharpe,sharpes,0.98831986
2763,sharpe,sharper,0.01168014
2764,sharpes,sharpest,1.0
2765,sharpest,sharpest,1.0
2766,sharper,sharpers,1.0
2767,sharpers,sharpers,1.0
2768,share,sharer,1.0
2769,sharer,sharers,1.0
2770,sharers,sharers,1.0
2771,shari,sharin,1.0
2772,sharin,sharing,1.0
2773,sharing,sharing,1.0
2774,shap,shape,0.09520993
2775,shap,shapi,0.90479007
2776,shape,shaper,1.0
2777,shaper,shapers,1.0
2778,shapers,shapers,1.0
2779,shapi,shapin,1.0
2780,shapin,shaping,1.0
2781,shaping,shaping,1.0
2782,shak,shake,0.29056604
2783,shak,shaki,0.70943396
2784,shake,shaker,1.0
2785,shaker,shakers,1.0
2786,shakers,shakers,1.0
2787,shaki,shakin,1.0
2788,shakin,shaking,1.0
2789,shaking,shaking,1.0
2790,shu,shut,1.0
2791,shut,shutt,1.0
2792,shutt,shutti,1.0
2793,shutti,shuttin,1.0
2794,shuttin,shutting,1.0
2795,shutting,shutting,1.0
2796,shr,shru,1.0
2797,shru,shrug,1.0
2798,shrug,shrugg,1.0
2799,shrugg,shrugge,1.0
2800,shrugge,shrugged,1.0
2801,shrugged,shrugged,1.0
2802,sho,show,0.26205868
2803,sho,shou,0.26056688
2804,sho,shor,0.24863252
2805,sho,shoo,0.22874192
2806,show,showe,0.89563567
2807,show,showi,0.10436433
2808,showe,shower,1.0
2809,shower,showere,1.0
2810,showere,showered,1.0
2811,showered,showered,1.0
2812,showi,showin,1.0
2813,showin,showing,1.0
2814,showing,showings,1.0
2815,showings,showings,1.0
2816,shou,shout,1.0
2817,shout,shouti,1.0
2818,shouti,shoutin,1.0
2819,shoutin,shouting,1.0
2820,shouting,shouting,1.0
2821,shor,short,1.0
2822,short,shorte,1.0
2823,shorte,shortes,1.0
2824,shortes,shortest,1.0
2825,shortest,shortest,1.0
2826,shoo,shoot,1.0
2827,shoot,shoote,1.0
2828,shoote,shooter,1.0
2829,shooter,shooters,1.0
2830,shooters,shooters,1.0
2831,shi,shit,0.01550239
2832,shi,shir,0.00306784
2833,shi,ship,0.98142976
2834,shit,shitt,1.0
2835,shitt,shitti,1.0
2836,shitti,shittin,1.0
2837,shittin,shitting,1.0
2838,shitting,shitting,1.0
2839,shir,shirt,1.0
2840,shirt,shirti,0.90425532
2841,shirt,shirte,0.09574468
2842,shirti,shirtin,1.0
2843,shirtin,shirting,1.0
2844,shirting,shirting,1.0
2845,shirte,shirted,1.0
2846,shirted,shirted,1.0
2847,ship,shipp,1.0
2848,shipp,shippi,0.40617577
2849,shipp,shippe,0.59382423
2850,shippi,shippin,1.0
2851,shippin,shipping,1.0
2852,shipping,shipping,1.0
2853,shippe,shipped,1.0
2854,shipped,shipped,1.0
2855,se,set,0.13137372
2856,se,ser,0.16474029
2857,se,sec,0.01738112
2858,se,sea,0.39517403
2859,se,sev,0.11612066
2860,se,sen,0.04835214
2861,se,sel,0.11870112
2862,se,see,0.00815693
2863,set,sett,1.0
2864,sett,settl,0.26222261
2865,sett,setti,0.73777739
2866,settl,settli,0.00018361
2867,settl,settle,0.99981639
2868,settli,settlin,1.0
2869,settlin,settling,1.0
2870,settling,settlings,1.0
2871,settlings,settlings,1.0
2872,settle,settles,0.25536775
2873,settle,settled,0.74463225
2874,settles,settles,1.0
2875,settled,settled,1.0
2876,setti,settin,1.0
2877,settin,setting,1.0
2878,setting,settings,1.0
2879,settings,settings,1.0
2880,ser,serv,0.93228271
2881,ser,seri,0.06771729
2882,serv,servi,1.0
2883,servi,servic,0.97869071
2884,servi,servin,0.02130929
2885,servic,servici,0.04030148
2886,servic,service,0.95969852
2887,servici,servicin,1.0
2888,servicin,servicing,1.0
2889,servicing,servicing,1.0
2890,service,services,0.97294939
2891,service,serviced,0.02705061
2892,services,services,1.0
2893,serviced,serviced,1.0
2894,servin,serving,1.0
2895,serving,servings,1.0
2896,servings,servings,1.0
2897,seri,serio,1.0
2898,serio,seriou,1.0
2899,seriou,serious,1.0
2900,serious,seriousl,1.0
2901,seriousl,seriously,1.0
2902,seriously,seriously,1.0
2903,sec,seco,1.0
2904,seco,secon,1.0
2905,secon,second,1.0
2906,second,secondi,0.00312316
2907,second,seconde,0.0191916
2908,second,seconds,0.97768524
2909,secondi,secondin,1.0
2910,secondin,seconding,1.0
2911,seconding,seconding,1.0
2912,seconde,seconded,1.0
2913,seconded,seconded,1.0
2914,seconds,seconds,1.0
2915,sea,sear,0.99979614
2916,sea,seat,0.00020386
2917,sear,searc,1.0
2918,searc,search,1.0
2919,search,searchi,0.44086022
2920,search,searche,0.55913978
2921,searchi,searchin,1.0
2922,searchin,searching,1.0
2923,searching,searching,1.0
2924,searche,searched,0.1545584
2925,searche,searches,0.8454416
2926,searched,searched,1.0
2927,searches,searches,1.0
2928,seat,seati,1.0
2929,seati,seatin,1.0
2930,seatin,seating,1.0
2931,seating,seatings,1.0
2932,seatings,seatings,1.0
2933,sev,seve,1.0
2934,seve,sever,1.0
2935,sever,severa,1.0
2936,severa,several,1.0
2937,several,several,1.0
2938,sen,sens,0.40351448
2939,sen,send,0.59648552
2940,sens,sensi,1.0
2941,sensi,sensin,1.0
2942,sensin,sensing,1.0
2943,sensing,sensing,1.0
2944,send,sende,0.18712493
2945,send,sendi,0.81287507
2946,sende,sender,1.0
2947,sender,senders,1.0
2948,senders,senders,1.0
2949,sendi,sendin,1.0
2950,sendin,sending,1.0
2951,sending,sending,1.0
2952,sel,sell,1.0
2953,sell,selle,0.10790032
2954,sell,selli,0.89209968
